Time,Demand,Temperature,Date,Holiday
01/01/2018 00:00,16989,5,01/01/2018,FALSE
01/01/2018 01:00,16764,9,01/01/2018,FALSE
01/01/2018 02:00,16509,1,01/01/2018,FALSE
01/01/2018 03:00,16109,2,01/01/2018,FALSE
01/01/2018 04:00,16152,6,01/01/2018,FALSE
01/01/2018 05:00,16205,2,01/01/2018,FALSE
01/01/2018 06:00,16567,7,01/01/2018,FALSE
01/01/2018 07:00,16867,7,01/01/2018,FALSE
01/01/2018 08:00,17175,5,01/01/2018,FALSE
01/01/2018 09:00,17421,8,01/01/2018,FALSE
01/01/2018 10:00,17805,9,01/01/2018,FALSE
01/01/2018 11:00,18103,1,01/01/2018,FALSE
01/01/2018 12:00,18277,3,01/01/2018,FALSE
01/01/2018 13:00,18408,1,01/01/2018,FALSE
01/01/2018 14:00,18454,1,01/01/2018,FALSE
01/01/2018 15:00,18639,2,01/01/2018,FALSE
01/01/2018 16:00,18821,6,01/01/2018,FALSE
01/01/2018 17:00,18724,7,01/01/2018,FALSE
01/01/2018 18:00,18551,6,01/01/2018,FALSE
01/01/2018 19:00,18318,6,01/01/2018,FALSE
01/01/2018 20:00,18121,7,01/01/2018,FALSE
01/01/2018 21:00,17774,3,01/01/2018,FALSE
01/01/2018 22:00,17198,1,01/01/2018,FALSE
01/01/2018 23:00,16691,9,01/01/2018,FALSE
02/01/2018 00:00,16195,3,02/01/2018,FALSE
02/01/2018 01:00,15899,4,02/01/2018,FALSE
02/01/2018 02:00,15814,4,02/01/2018,FALSE
02/01/2018 03:00,15909,4,02/01/2018,FALSE
02/01/2018 04:00,16109,2,02/01/2018,FALSE
02/01/2018 05:00,16493,1,02/01/2018,FALSE
02/01/2018 06:00,17890,8,02/01/2018,FALSE
02/01/2018 07:00,19451,7,02/01/2018,FALSE
02/01/2018 08:00,19978,3,02/01/2018,FALSE
02/01/2018 09:00,20046,3,02/01/2018,FALSE
02/01/2018 10:00,20385,7,02/01/2018,FALSE
02/01/2018 11:00,20417,2,02/01/2018,FALSE
02/01/2018 12:00,20479,6,02/01/2018,FALSE
02/01/2018 13:00,20463,5,02/01/2018,FALSE
02/01/2018 14:00,20147,6,02/01/2018,FALSE
02/01/2018 15:00,20420,3,02/01/2018,FALSE
02/01/2018 16:00,20709,2,02/01/2018,FALSE
02/01/2018 17:00,20644,3,02/01/2018,FALSE
02/01/2018 18:00,20329,4,02/01/2018,FALSE
02/01/2018 19:00,20119,4,02/01/2018,FALSE
02/01/2018 20:00,19746,1,02/01/2018,FALSE
02/01/2018 21:00,19355,1,02/01/2018,FALSE
02/01/2018 22:00,18503,5,02/01/2018,FALSE
02/01/2018 23:00,17875,5,02/01/2018,FALSE
03/01/2018 00:00,17267,9,03/01/2018,FALSE
03/01/2018 01:00,16947,7,03/01/2018,FALSE
03/01/2018 02:00,16877,1,03/01/2018,FALSE
03/01/2018 03:00,16903,5,03/01/2018,FALSE
03/01/2018 04:00,17033,1,03/01/2018,FALSE
03/01/2018 05:00,17492,2,03/01/2018,FALSE
03/01/2018 06:00,18845,4,03/01/2018,FALSE
03/01/2018 07:00,20429,2,03/01/2018,FALSE
03/01/2018 08:00,20925,1,03/01/2018,FALSE
03/01/2018 09:00,20865,3,03/01/2018,FALSE
03/01/2018 10:00,20939,5,03/01/2018,FALSE
03/01/2018 11:00,20870,5,03/01/2018,FALSE
03/01/2018 12:00,20777,5,03/01/2018,FALSE
03/01/2018 13:00,20744,9,03/01/2018,FALSE
03/01/2018 14:00,20982,9,03/01/2018,FALSE
03/01/2018 15:00,21167,2,03/01/2018,FALSE
03/01/2018 16:00,21342,4,03/01/2018,FALSE
03/01/2018 17:00,21219,1,03/01/2018,FALSE
03/01/2018 18:00,20855,5,03/01/2018,FALSE
03/01/2018 19:00,20614,3,03/01/2018,FALSE
03/01/2018 20:00,20192,5,03/01/2018,FALSE
03/01/2018 21:00,19765,5,03/01/2018,FALSE
03/01/2018 22:00,19062,7,03/01/2018,FALSE
03/01/2018 23:00,18237,7,03/01/2018,FALSE
04/01/2018 00:00,17576,4,04/01/2018,FALSE
04/01/2018 01:00,17055,2,04/01/2018,FALSE
04/01/2018 02:00,16928,5,04/01/2018,FALSE
04/01/2018 03:00,16906,3,04/01/2018,FALSE
04/01/2018 04:00,17002,5,04/01/2018,FALSE
04/01/2018 05:00,17471,6,04/01/2018,FALSE
04/01/2018 06:00,18901,9,04/01/2018,FALSE
04/01/2018 07:00,20513,8,04/01/2018,FALSE
04/01/2018 08:00,20985,9,04/01/2018,FALSE
04/01/2018 09:00,20888,3,04/01/2018,FALSE
04/01/2018 10:00,20631,3,04/01/2018,FALSE
04/01/2018 11:00,20507,7,04/01/2018,FALSE
04/01/2018 12:00,20554,8,04/01/2018,FALSE
04/01/2018 13:00,20591,5,04/01/2018,FALSE
04/01/2018 14:00,20675,8,04/01/2018,FALSE
04/01/2018 15:00,20870,7,04/01/2018,FALSE
04/01/2018 16:00,21002,2,04/01/2018,FALSE
04/01/2018 17:00,20730,5,04/01/2018,FALSE
04/01/2018 18:00,20503,2,04/01/2018,FALSE
04/01/2018 19:00,20131,6,04/01/2018,FALSE
04/01/2018 20:00,19733,2,04/01/2018,FALSE
04/01/2018 21:00,19362,4,04/01/2018,FALSE
04/01/2018 22:00,18783,1,04/01/2018,FALSE
04/01/2018 23:00,17759,6,04/01/2018,FALSE
05/01/2018 00:00,17169,9,05/01/2018,FALSE
05/01/2018 01:00,16942,5,05/01/2018,FALSE
05/01/2018 02:00,16774,2,05/01/2018,FALSE
05/01/2018 03:00,16854,8,05/01/2018,FALSE
05/01/2018 04:00,16999,7,05/01/2018,FALSE
05/01/2018 05:00,17307,8,05/01/2018,FALSE
05/01/2018 06:00,18917,8,05/01/2018,FALSE
05/01/2018 07:00,20476,8,05/01/2018,FALSE
05/01/2018 08:00,21138,6,05/01/2018,FALSE
05/01/2018 09:00,21107,2,05/01/2018,FALSE
05/01/2018 10:00,21171,3,05/01/2018,FALSE
05/01/2018 11:00,20864,3,05/01/2018,FALSE
05/01/2018 12:00,20704,9,05/01/2018,FALSE
05/01/2018 13:00,20752,6,05/01/2018,FALSE
05/01/2018 14:00,20781,9,05/01/2018,FALSE
05/01/2018 15:00,20999,4,05/01/2018,FALSE
05/01/2018 16:00,21247,4,05/01/2018,FALSE
05/01/2018 17:00,21112,9,05/01/2018,FALSE
05/01/2018 18:00,20951,6,05/01/2018,FALSE
05/01/2018 19:00,20688,8,05/01/2018,FALSE
05/01/2018 20:00,20304,9,05/01/2018,FALSE
05/01/2018 21:00,19739,1,05/01/2018,FALSE
05/01/2018 22:00,19235,9,05/01/2018,FALSE
05/01/2018 23:00,18651,5,05/01/2018,FALSE
06/01/2018 00:00,18150,2,06/01/2018,FALSE
06/01/2018 01:00,17801,1,06/01/2018,FALSE
06/01/2018 02:00,17552,6,06/01/2018,FALSE
06/01/2018 03:00,17440,5,06/01/2018,FALSE
06/01/2018 04:00,17481,3,06/01/2018,FALSE
06/01/2018 05:00,17517,8,06/01/2018,FALSE
06/01/2018 06:00,17942,8,06/01/2018,FALSE
06/01/2018 07:00,18397,2,06/01/2018,FALSE
06/01/2018 08:00,19174,2,06/01/2018,FALSE
06/01/2018 09:00,19723,5,06/01/2018,FALSE
06/01/2018 10:00,20133,4,06/01/2018,FALSE
06/01/2018 11:00,20233,2,06/01/2018,FALSE
06/01/2018 12:00,20121,1,06/01/2018,FALSE
06/01/2018 13:00,20068,8,06/01/2018,FALSE
06/01/2018 14:00,19984,9,06/01/2018,FALSE
06/01/2018 15:00,20217,7,06/01/2018,FALSE
06/01/2018 16:00,20972,4,06/01/2018,FALSE
06/01/2018 17:00,21196,1,06/01/2018,FALSE
06/01/2018 18:00,21064,1,06/01/2018,FALSE
06/01/2018 19:00,20772,9,06/01/2018,FALSE
06/01/2018 20:00,20259,5,06/01/2018,FALSE
06/01/2018 21:00,19754,3,06/01/2018,FALSE
06/01/2018 22:00,19458,8,06/01/2018,FALSE
06/01/2018 23:00,19037,6,06/01/2018,FALSE
07/01/2018 00:00,18618,7,07/01/2018,FALSE
07/01/2018 01:00,18364,8,07/01/2018,FALSE
07/01/2018 02:00,18269,8,07/01/2018,FALSE
07/01/2018 03:00,18143,7,07/01/2018,FALSE
07/01/2018 04:00,18211,9,07/01/2018,FALSE
07/01/2018 05:00,18440,5,07/01/2018,FALSE
07/01/2018 06:00,18625,9,07/01/2018,FALSE
07/01/2018 07:00,18878,7,07/01/2018,FALSE
07/01/2018 08:00,19505,7,07/01/2018,FALSE
07/01/2018 09:00,19888,7,07/01/2018,FALSE
07/01/2018 10:00,20367,7,07/01/2018,FALSE
07/01/2018 11:00,20414,4,07/01/2018,FALSE
07/01/2018 12:00,20343,6,07/01/2018,FALSE
07/01/2018 13:00,20401,7,07/01/2018,FALSE
07/01/2018 14:00,20298,8,07/01/2018,FALSE
07/01/2018 15:00,20540,5,07/01/2018,FALSE
07/01/2018 16:00,20920,4,07/01/2018,FALSE
07/01/2018 17:00,20826,5,07/01/2018,FALSE
07/01/2018 18:00,20721,5,07/01/2018,FALSE
07/01/2018 19:00,20485,3,07/01/2018,FALSE
07/01/2018 20:00,20083,4,07/01/2018,FALSE
07/01/2018 21:00,19598,7,07/01/2018,FALSE
07/01/2018 22:00,19092,7,07/01/2018,FALSE
07/01/2018 23:00,18091,1,07/01/2018,FALSE
08/01/2018 00:00,17804,8,08/01/2018,FALSE
08/01/2018 01:00,17586,8,08/01/2018,FALSE
08/01/2018 02:00,17439,6,08/01/2018,FALSE
08/01/2018 03:00,17507,5,08/01/2018,FALSE
08/01/2018 04:00,17589,5,08/01/2018,FALSE
08/01/2018 05:00,18333,5,08/01/2018,FALSE
08/01/2018 06:00,19922,5,08/01/2018,FALSE
08/01/2018 07:00,21132,6,08/01/2018,FALSE
08/01/2018 08:00,21829,6,08/01/2018,FALSE
08/01/2018 09:00,21475,7,08/01/2018,FALSE
08/01/2018 10:00,21264,4,08/01/2018,FALSE
08/01/2018 11:00,21001,6,08/01/2018,FALSE
08/01/2018 12:00,20878,4,08/01/2018,FALSE
08/01/2018 13:00,20726,9,08/01/2018,FALSE
08/01/2018 14:00,20882,1,08/01/2018,FALSE
08/01/2018 15:00,21053,8,08/01/2018,FALSE
08/01/2018 16:00,21435,5,08/01/2018,FALSE
08/01/2018 17:00,21428,2,08/01/2018,FALSE
08/01/2018 18:00,21166,2,08/01/2018,FALSE
08/01/2018 19:00,20898,2,08/01/2018,FALSE
08/01/2018 20:00,20588,2,08/01/2018,FALSE
08/01/2018 21:00,20101,3,08/01/2018,FALSE
08/01/2018 22:00,19435,5,08/01/2018,FALSE
08/01/2018 23:00,18537,6,08/01/2018,FALSE
09/01/2018 00:00,17975,4,09/01/2018,FALSE
09/01/2018 01:00,17652,1,09/01/2018,FALSE
09/01/2018 02:00,17478,8,09/01/2018,FALSE
09/01/2018 03:00,17556,3,09/01/2018,FALSE
